,Title,Director,Year,Rating,Votes,Revenue,Producer,Oscar Year,Director oscars
530,Antichrist,Lars von Trier,2009,6.6,94069,0.4,"['Zentropa Entertainments', 'Det Danske Filminstitut', 'Danmarks Radio (DR)', 'Filmstiftung Nordrhein-Westfalen', 'Trollhättan Film AB', 'Memfis Film', 'Lucky Red', 'Sveriges Television (SVT)', 'Zweites Deutsches Fernsehen (ZDF)', 'Canal+', 'ARTE', 'Film i Väst', 'Arte France Cinéma', 'CNC', 'Svenska Filminstitutet (SFI)', 'Slot Machine', 'Zentropa International Köln', 'Nordisk Film- & TV-Fond', 'The Criterion Collection', 'Zentropa International Poland', 'ZDF/Arte', 'Deutsche Filmförderfonds (DFFF)', 'Liberator Productions', 'Polski Instytut Sztuki Filmowej']",,
531,Bronson,Nicolas Winding Refn,2008,7.1,93972,0.1,"['EM Media', 'Aramid Entertainment Fund', 'Vertigo Films', 'Str8jacket Creations', '4DH Films', 'Perfume Films']",,
532,A Walk Among the Tombstones,Scott Frank,2014,6.5,93883,25.98,"['Double Feature Films', 'Jersey Films', '1984 Private Defense Contractors', 'Cross Creek Pictures', 'Exclusive Media Group', 'Traveling Picture Show Company (TPSC)', 'Free State Pictures', 'Da Vinci Media Ventures']",,
533,The Giver,Phillip Noyce,2014,6.5,93799,45.09,"['The Weinstein Company', 'Walden Media', 'Tonik Productions', 'Asis Productions']",,
534,Blended,Frank Coraci,2014,6.5,93764,46.28,"['Happy Madison Productions', 'Karz Entertainment', 'Warner Bros.', 'Gulfstream Pictures']",,
535,The Butler,Lee Daniels,2013,7.2,93322,116.63,"['Laura Ziskin Productions', 'Lee Daniels Entertainment', 'Follow Through Productions', 'Salamander Pictures', 'Pam Williams Productions', 'Windy Hill Pictures']",,
536,Hidden Figures,Theodore Melfi,2016,7.8,93103,169.27,"['Fox 2000 Pictures', 'Chernin Entertainment', 'Levantine Films']",,
537,The Fall,Tarsem Singh,2006,7.9,93036,2.28,"['Roadside Attractions', 'Absolute Entertainment', 'Googly Films', 'Deep Films', 'Radical Media', 'Tree Top Films Inc.']",,
538,Oculus,Mike Flanagan,2013,6.5,92875,27.69,"['Intrepid Pictures', 'Blumhouse Productions', 'Relativity Media', 'WWE Studios', 'MICA Entertainment']",,
539,The Family,Luc Besson,2013,6.3,92868,36.92,[],,
540,Incendies,Denis Villeneuve,2010,8.2,92863,6.86,"['TS Productions', 'Micro scope', 'Phi Group']",,
541,The Walk,Robert Zemeckis,2015,7.3,92378,10.14,"['TriStar Pictures', 'Sony Pictures Entertainment', 'ImageMovers']",,1
542,The Three Musketeers,Paul W.S. Anderson,2011,5.8,92329,20.32,['Twentieth Century Fox Film Corporation'],,
543,If I Stay,R.J. Cutler,2014,6.8,92170,50.46,"['New Line Cinema', 'Metro-Goldwyn-Mayer (MGM)']",,
544,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,2015,7.8,92076,6.74,['Indian Paintbrush'],,
545,Percy Jackson: Sea of Monsters,Thor Freudenthal,2013,5.9,91684,68.56,"['1492 Pictures', 'Dune Entertainment', 'Fox 2000 Pictures', 'Sunswept Entertainment', 'Dune Entertainment III', 'TSG Entertainment']",,
546,Precious,Lee Daniels,2009,7.3,91623,47.54,['Smokewood Entertainment Group'],,
547,August Rush,Kirsten Sheridan,2007,7.5,91229,31.66,"['Warner Bros.', 'CJ Entertainment', 'Southpaw Entertainment']",,
548,Annabelle,John R. Leonetti,2014,5.4,91106,84.26,"['New Line Cinema', 'The Safran Company', 'Evergreen Media Group', 'RatPac-Dune Entertainment']",,
549,In the Heart of the Sea,Ron Howard,2015,6.9,90372,24.99,"['Imagine Entertainment', 'Spring Creek Productions', 'Warner Bros.', 'Roth Films', 'K. JAM Media', 'Cott Productions', 'Surf Film', 'Enelmar Productions, A.I.E.']",,1
550,Pompeii,Paul W.S. Anderson,2014,5.5,90188,23.22,"['Impact Pictures', 'TriStar Pictures', 'Don Carmody Productions', 'FilmDistrict', 'Constantin Film International']",,
551,Sex Tape,Jake Kasdan,2014,5.1,89885,38.54,"['Escape Artists', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)', 'LStar Capital']",,
552,Deepwater Horizon,Peter Berg,2016,7.2,89849,61.28,"['Di Bonaventura Pictures', 'Summit Entertainment', 'Participant Media', 'Closest to the Hole Productions', 'Leverage Entertainment', 'TIK Film']",,
553,Kung Fu Panda 3,Alessandro Carloni,2016,7.2,89791,143.52,"['Twentieth Century Fox Film Corporation', 'DreamWorks Animation', 'China Film Co.', 'Oriental DreamWorks']",,
554,"Hail, Caesar!",Ethan Coen,2016,6.3,89059,30.0,"['Universal Pictures', 'Mike Zoss Productions', 'Working Title Films']",,
555,Out of the Furnace,Scott Cooper,2013,6.8,88829,11.33,"['Appian Way', 'Scott Free Productions', 'Relativity Media', 'Energy Entertainment', 'Red Granite Pictures']",,
556,The Other Boleyn Girl,Justin Chadwick,2008,6.7,88260,26.81,"['Columbia Pictures', 'Scott Rudin Productions', 'BBC Films', 'Ruby Films', 'Relativity Media', 'Focus Features']",,
557,Final Destination 5,Steven Quale,2011,5.9,88000,42.58,"['New Line Cinema', 'Practical Pictures', 'Parallel Zide']",,
558,Your Highness,David Gordon Green,2011,5.6,87904,21.56,"['Universal Pictures', 'Stuber Productions']",,
559,Rescue Dawn,Werner Herzog,2006,7.3,87887,5.48,['Metro-Goldwyn-Mayer (MGM)'],,
560,Couples Retreat,Peter Billingsley,2009,5.5,86417,109.18,"['Universal Pictures', 'Wild West Picture Show Productions', 'Stuber Productions', 'Relativity Media']",,
561,I Origins,Mike Cahill,2014,7.3,86271,0.33,"['Verisimilitude', 'Bersin Pictures', 'WeWork Studios']",,
562,The Counselor,Ridley Scott,2013,5.3,84927,16.97,"['Ingenious Media', 'Fox 2000 Pictures', 'Scott Free Productions', 'Kanzaman', 'Nick Wechsler Productions', 'Big Screen Productions', 'Chockstone Pictures', 'Translux', 'TSG Entertainment']",,
563,Conan the Barbarian,Marcus Nispel,2011,5.2,84893,21.27,"['Universal Pictures', 'Dino De Laurentiis Company']",,
564,Safe Haven,Lasse Hallström,2013,6.7,84765,71.35,"['Temple Hill Productions', 'Relativity Media']",,
565,Legion,Scott Stewart,2010,5.2,84158,40.17,['Bold Films'],,
566,Never Back Down,Jeff Wadlow,2008,6.6,84083,24.85,"['Summit Entertainment', 'Mandalay Pictures', 'Baumgarten Management and Productions (BMP)']",,
567,What We Do in the Shadows,Jemaine Clement,2014,7.6,84016,3.33,"['Unison Films', 'Defender Films', 'Funny or Die']",,
568,Bride Wars,Gary Winick,2009,5.5,83976,58.72,"['Dune Entertainment', 'Regency Enterprises', 'Fox 2000 Pictures', 'Dune Entertainment III', 'New Regency Pictures', 'Sunrise Entertainment (II)', 'Biride Productions']",,
569,Marie Antoinette,Sofia Coppola,2006,6.4,83941,15.96,"['American Zoetrope', 'Columbia Pictures Corporation', 'Pricel', 'Tohokushinsha Film', 'Commission du Film France', 'Commission du Film Île-de-France']",,
570,Faster,George Tillman Jr.,2010,6.5,83788,23.23,"['Castle Rock Entertainment', 'TriStar Pictures', 'State Street Pictures', 'CBS Films']",,
571,Movie 43,Elizabeth Banks,2013,4.3,83625,8.83,"['Greenestreet Films', 'Relativity Media', 'Virgin Produced', 'Wessler Entertainment', 'Witness Protection Films']",,
572,The Lucky One,Scott Hicks,2012,6.5,82874,60.44,"['Village Roadshow Pictures', 'DiNovi Pictures', 'Warner Bros.', 'Langley Park Production']",,
573,Lady in the Water,M. Night Shyamalan,2006,5.6,82701,42.27,"['Legendary Pictures', 'Warner Bros.', 'Blinding Edge Pictures']",,
574,That Awkward Moment,Tom Gormican,2014,6.2,81823,26.05,['Treehouse Pictures'],,
575,The Visit,M. Night Shyamalan,2015,6.2,81429,65.07,"['Twentieth Century Fox Film Corporation', 'Cinecittà', 'Les Films du Siècle', 'Dear Film Produzione', 'Deutsche Fox AG (Defa)', 'Productions et Éditions Cinématographique Français']",,
576,Filth,Jon S. Baird,2013,7.1,81301,0.03,"['Egoli Tossell Film AG', 'Steel Mill Pictures', 'Entre Chien et Loup', 'Filmgate Films', 'Logie Pictures', 'Altitude Film Entertainment', 'Film House Germany', 'Maven Pictures']",,
577,"Love, Rosie",Christian Ditter,2014,7.2,80415,0.01,"['Constantin Film', 'Octagon Films']",,
578,Snowden,Oliver Stone,2016,7.3,79855,21.48,"['Endgame Entertainment', 'Onda Entertainment', 'KrautPack Entertainment']",,2
579,Friday the 13th,Marcus Nispel,2009,5.6,78631,65.0,"['Paramount Pictures', 'Georgetown Productions Inc.', 'Sean S. Cunningham Films']",,
580,The Shallows,Jaume Collet-Serra,2016,6.4,78328,55.12,"['Columbia Pictures', 'Ombra Films', 'Weimaraner Republic Pictures']",,
581,Allied,Robert Zemeckis,2016,7.1,78079,40.07,"['Paramount Pictures', 'GK Films', 'ImageMovers', 'Huahua Media']",,1
582,Jack Reacher: Never Go Back,Edward Zwick,2016,6.1,78043,58.4,"['Paramount Pictures', 'Shanghai Film Group', 'TC Productions', 'Skydance Media', 'Huahua Media']",,
583,Carol,Todd Haynes,2015,7.2,77995,0.25,"['Killer Films', 'Film4', 'Number 9 Films']",,
584,Home,Tim Johnson,2015,6.7,77447,177.34,"['Europa Corp.', 'Elzévir Films', 'France 2 (FR2)']",,
585,Disaster Movie,Jason Friedberg,2008,1.9,77207,14.17,"['Grosvenor Park Media Ltd.', 'LionsGate', '3 in the Box']",,
586,Burnt,John Wells,2015,6.6,76469,13.65,"['Double Feature Films', 'PeaPie Films', '3 Arts Entertainment']",,
587,Neighbors 2: Sorority Rising,Nicholas Stoller,2016,5.7,76327,55.29,"['Universal Pictures', 'Perfect World Pictures', 'Point Grey Pictures', 'Good Universe']",,
588,Anna Karenina,Joe Wright,2012,6.6,75291,12.8,['Metro-Goldwyn-Mayer (MGM)'],,
589,Piranha 3D,Alexandre Aja,2010,5.5,75262,25.0,"['The Weinstein Company', 'Atmosphere Entertainment MM', 'Chako Film Company', 'Dimension Films', 'Intellectual Properties Worldwide', 'Aja / Levasseur Productions']",,
590,Dirty Grandpa,Dan Mazer,2016,6.0,75137,35.54,,,
591,Night at the Museum: Secret of the Tomb,Shawn Levy,2014,6.2,74886,113.73,"['Twentieth Century Fox Film Corporation', '1492 Pictures', '21 Laps Entertainment', 'Moving Picture Company (MPC)', 'TSG Entertainment']",,
592,A Good Year,Ridley Scott,2006,6.9,74674,7.46,"['Fox 2000 Pictures', 'Scott Free Productions']",,
593,The Heartbreak Kid,Bobby Farrelly,2007,5.8,74664,36.77,"['Twentieth Century Fox Film Corporation', 'Palomar Pictures']",,
594,Vacation,John Francis Daley,2015,6.1,74589,58.88,"['New Line Cinema', 'BenderSpink', 'David Dobkin Productions']",,
595,Funny Games,Michael Haneke,2007,6.5,73835,1.29,['Wega Film'],,
596,Gods of Egypt,Alex Proyas,2016,5.5,73568,31.14,"['Summit Entertainment', 'Mystery Clock Cinema', 'Thunder Road Pictures', 'TIK Films', 'Pyramania']",,
597,3 Days to Kill,McG,2014,6.2,73567,30.69,"['Wonderland Sound and Vision', 'EuropaCorp', 'Relativity Media', '3DTK', 'Feelgood Entertainment', 'Paradise/MGN']",,
598,Hostel: Part II,Eli Roth,2007,5.5,73152,17.54,"['Lions Gate Films', 'Next Entertainment', 'Screen Gems']",,
599,The 5th Wave,J Blakeson,2016,5.2,73093,34.91,"['Columbia Pictures', 'GK Films', 'Material Pictures', 'LStar Capital']",,
600,Kubo and the Two Strings,Travis Knight,2016,7.9,72778,48.02,['Laika Entertainment'],,
601,Triangle,Christopher Smith,2009,6.9,72533,,"['Dan Films', 'UK Film Council', 'Pictures in Paradise', 'Pacific Film and Television Commission', 'Icon Entertainment International', 'Framestore', 'Triangle Films']",,
602,Paper Towns,Jake Schreier,2015,6.3,72515,31.99,['Fox 2000 Pictures'],,
603,To Rome with Love,Woody Allen,2012,6.3,72050,16.68,"['Gravier Productions', 'Medusa Film', 'Mediapro', 'Perdido Productions']",,1
604,Beautiful Creatures,Richard LaGravenese,2013,6.2,71822,19.45,"['DNA Films', 'Arts Council of England', 'DNA Pictures International', 'Snakeman Productions']",,
605,The Last Witch Hunter,Breck Eisner,2015,6.0,71149,27.36,"['Summit Entertainment', 'Atmosphere Entertainment MM', 'One Race Films', 'Goldmann Pictures', 'NeoReel', 'Aperture Entertainment', 'TIK Films']",,
606,The Guest,Adam Wingard,2014,6.7,71069,0.32,"['HanWay Films', 'Snoot Entertainment']",,
607,Step Up 2: The Streets,Jon M. Chu,2008,6.2,70699,58.01,"['Summit Entertainment', 'Offspring Entertainment', 'Touchstone Pictures']",,
608,Allegiant,Robert Schwentke,2016,5.7,70504,66.0,"['Summit Entertainment', 'Lionsgate', 'Mandeville Films', 'Red Wagon Entertainment']",,
609,Lights Out,David F. Sandberg,2016,6.4,69823,67.24,[],,
610,42,Brian Helgeland,2013,7.5,69659,95.0,['Warner Bros.'],,
611,Nerve,Henry Joost,2016,6.6,69651,38.56,"['Lionsgate', 'Allison Shearmur Productions', 'Keep Your Head']",,
612,Inherent Vice,Paul Thomas Anderson,2014,6.7,69509,8.09,"['Ghoulardi Film Company', 'Warner Bros.', 'IAC Films']",,
613,Hotel Transylvania 2,Genndy Tartakovsky,2015,6.7,69157,169.69,"['Columbia Pictures', 'Sony Pictures Animation']",,
614,Money Monster,Jodie Foster,2016,6.5,68654,41.01,"['TriStar Pictures', 'Sony Pictures Releasing', 'Smokehouse Pictures', 'LStar Capital', 'Allegiance Theater']",,
615,Daddy's Home,Sean Anders,2015,6.1,68306,150.32,"['Paramount Pictures', 'Gary Sanchez Productions', 'Red Granite Pictures']",,
616,Centurion,Neil Marshall,2010,6.4,67801,0.12,"['Pathé Pictures International', 'UK Film Council', 'Celador Films', 'Canal+', 'Warner Bros.', 'CinéCinéma']",,
617,Selma,Ava DuVernay,2014,7.5,67637,52.07,"['Plan B Entertainment', 'Harpo Films', 'Celador Films', 'Cloud Eight Films', 'Pathé']",,
618,Jane Eyre,Cary Joji Fukunaga,2011,7.4,67464,11.23,['Miramax Films'],,
619,Self/less,Tarsem Singh,2015,6.5,67196,12.28,"['Endgame Entertainment', 'Ram Bergman Productions']",,
620,The House Bunny,Fred Wolf,2008,5.5,67033,48.24,"['Columbia Pictures', 'Happy Madison Productions', 'Relativity Media', 'Alta Loma Entertainment']",,
621,The Huntsman: Winter's War,Cedric Nicolas-Troyan,2016,6.1,66766,47.95,"['Universal Pictures', 'Perfect World Pictures', 'Roth Films']",,
622,Bad Moms,Jon Lucas,2016,6.2,66540,113.08,"['STX Entertainment', 'Huayi Brothers Pictures', 'BillBlock Media']",,
623,Dope,Rick Famuyiwa,2015,7.3,66400,17.47,,,
624,Coherence,James Ward Byrkit,2013,7.2,66265,0.07,"['Ugly Duckling Films', 'Bellanova Films']",,
625,Nymphomaniac: Vol. II,Lars von Trier,2013,6.7,65824,0.33,['Zentropa Entertainments'],,
626,The Kings of Summer,Jordan Vogt-Roberts,2013,7.2,65653,1.29,"['Big Beach Films', 'Low Spark Films']",,
627,Red Dawn,Dan Bradley,2012,5.4,64584,44.8,"['United Artists', 'Valkyrie Films']",,
628,Entourage,Doug Ellin,2015,6.6,64557,32.36,"['Warner Bros.', 'Closest to the Hole Productions']",,
629,Super,James Gunn,2010,6.8,64535,0.32,"['This Is That Productions', 'Ambush Entertainment', 'Crimson Bolt']",,
630,Rock of Ages,Adam Shankman,2012,5.9,64513,38.51,"['New Line Cinema', 'Offspring Entertainment', 'Corner Store Entertainment', 'Material Pictures']",,
631,Slither,James Gunn,2006,6.5,64351,7.77,['Universal Pictures'],,
632,Martyrs,Pascal Laugier,2008,7.1,63785,,"['Eskwad', 'Wild Bunch', 'TCB Films', 'Canal+', 'CinéCinéma', 'Canal Horizons']",,
633,Grimsby,Louis Leterrier,2016,6.2,63408,6.86,"['Columbia Pictures', 'Village Roadshow Pictures', 'Big Talk Productions', 'Sony Pictures Releasing', 'Sony Pictures Entertainment (SPE)', 'Working Title Films', 'Blue Sky Films', 'LStar Capital', 'Four by Two Films']",,
634,Green Room,Jeremy Saulnier,2015,7.0,62885,3.22,"['Film Science', 'Broad Green Pictures']",,
635,Fool's Gold,Andy Tennant,2008,5.7,62719,70.22,"['De Line Pictures', 'Warner Bros.']",,
636,Sex and the City 2,Michael Patrick King,2010,4.3,62403,95.33,"['New Line Cinema', 'Village Roadshow Pictures', 'Home Box Office (HBO)', 'HBO Films']",,
637,What's Your Number?,Mark Mylod,2011,6.1,62095,13.99,"['Regency Enterprises', 'Contrafilm', 'New Regency Pictures']",,
638,Swiss Army Man,Dan Kwan,2016,7.1,61812,4.21,"['A24', 'BlackBird', 'Tadmor']",,
639,Concussion,Peter Landesman,2015,7.1,61274,34.53,"['Columbia Pictures', 'Village Roadshow Pictures', 'Scott Free Productions', 'LStar Capital', 'The Cantillon Company', 'The Shuman Company']",,
640,Hardcore Henry,Ilya Naishuller,2015,6.7,61098,9.24,"['Bazelevs Production', 'Huayi Brothers Media', 'Versus Pictures']",,
641,Horns,Alexandre Aja,2013,6.5,61060,0.16,"['Mandalay Pictures', 'Red Granite Pictures']",,
642,The Human Centipede (First Sequence),Tom Six,2009,4.4,60655,0.18,['Six Entertainment'],,
643,Sing,Christophe Lourdelet,2016,7.2,60545,270.32,[],,
644,I Spit on Your Grave,Steven R. Monroe,2010,6.3,60133,0.09,"['Anchor Bay Films', 'Cinetel Films', 'Family of the Year Productions']",,
645,What to Expect When You're Expecting,Kirk Jones,2012,5.7,60059,41.1,"['Alcon Entertainment', 'Lionsgate', 'Phoenix Pictures', 'What to Expect Productions']",,
646,Seventh Son,Sergei Bodrov,2014,5.5,59958,17.18,"['Legendary Pictures', 'Thunder Road Pictures', 'Outlaw Sinema', 'Moving Picture Company (MPC)', 'Pendle Mountain Productions', 'China Film Co.']",,
647,How to Be Single,Christian Ditter,2016,6.1,59886,46.81,"['New Line Cinema', 'Flower Films', 'Metro-Goldwyn-Mayer Pictures']",,
648,Dragonball Evolution,James Wong,2009,2.7,59512,9.35,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Star Overseas', 'Dune Entertainment III', 'Big Screen Productions', 'World Film Magic']",,
649,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,2016,6.0,59312,0.54,"['Paramount Pictures', 'Nickelodeon Movies', 'Platinum Dunes', '5150 Action', 'Gama Entertainment Partners']",,
650,Demolition,Jean-Marc Vallée,2015,7.0,58720,1.82,"['Sidney Kimmel Entertainment', 'Mr. Mudd Production', 'Right of Way Films', 'Black Label Media']",,
651,The Longest Ride,George Tillman Jr.,2015,7.1,58421,37.43,"['Fox 2000 Pictures', 'Temple Hill Entertainment']",,
652,No Escape,John Erick Dowdle,2015,6.8,57921,27.29,"['Bold Films', 'Living Films', 'Brothers Dowdle Productions']",,
653,The DUFF,Ari Sandel,2015,6.5,57874,34.02,"['Wonderland Sound and Vision', 'CBS Films', 'Vast Entertainment']",,
654,Eye in the Sky,Gavin Hood,2015,7.3,57826,18.7,"['Entertainment One', 'Moonlighting Films', 'Raindog Films']",,
655,Goosebumps,Rob Letterman,2015,6.3,57602,80.02,"['Columbia Pictures', 'Village Roadshow Pictures', 'Original Film', 'Sony Pictures Animation', 'Sony Pictures Entertainment (SPE)', 'Scholastic Entertainment', 'LStar Capital']",,
656,Alice Through the Looking Glass,James Bobin,2016,6.2,57207,77.04,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Legend3D']",,
657,Eddie the Eagle,Dexter Fletcher,2016,7.4,56332,15.79,"['Studio Babelsberg', 'Twentieth Century Fox Film Corporation', 'Marv Films', 'Saville Productions']",,
658,The Great Wall,Yimou Zhang,2016,6.1,56036,45.13,"['Universal Pictures', 'Atlas Entertainment', 'Legendary Pictures', 'China Film Group', 'Le Vision Pictures', 'Legendary East', 'Kava Productions']",,
659,Freedom Writers,Richard LaGravenese,2007,7.5,55648,36.58,"['Double Feature Films', 'Jersey Films', 'Kernos Filmproduktionsgesellschaft & Company']",,
660,What If,Michael Dowse,2013,6.8,55243,3.45,"['Fastnet Films', 'Caramel Film', 'No Trace Camping']",,
661,Midnight Special,Jeff Nichols,2016,6.7,54787,3.71,"['Warner Bros.', 'Faliro House Productions', 'Tri-State Pictures']",,
662,Hunger,Steve McQueen,2008,7.6,54486,0.15,"['Sandrews', 'Svenska Filminstitutet (SFI)', 'Studio ABC']",,
663,The Purge: Election Year,James DeMonaco,2016,6.0,54216,79.0,"['Universal Pictures', 'Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions']",,
664,The First Time,Jon Kasdan,2012,6.9,54027,0.02,"['Destination Films', 'Samuel Goldwyn Films']",,
665,Knock Knock,Eli Roth,2015,4.9,53441,0.03,"['Universum Film (UFA)', 'Dragonfly Entertainment', 'Black Bear Pictures', 'Sobras International Pictures', 'Camp Grey', 'Lionsgate Premiere']",,
666,Mike and Dave Need Wedding Dates,Jake Szymanski,2016,6.0,53183,46.01,"['Twentieth Century Fox Film Corporation', 'Chernin Entertainment', 'TSG Entertainment']",,
667,Youth,Paolo Sorrentino,2015,7.3,52636,2.7,"['France 2 Cinéma', 'Indigo Film', 'Pathé', 'Number 9 Films']",,
668,The Gambler,Rupert Wyatt,2014,6.0,52537,33.63,['Paramount Pictures'],,
669,Hunt for the Wilderpeople,Taika Waititi,2016,7.9,52331,5.2,"['Defender Films', 'Piki Films', 'Curious Film']",,
670,Sing Street,John Carney,2016,8.0,52144,3.23,"['Cosmo-Films', 'Likely Story', 'FilmNation Entertainment', 'Filmwave Pictures', 'PalmStar Media', 'Distressed Films']",,
671,The Boy,William Brent Bell,2016,6.0,51235,35.79,"['Lakeshore Entertainment', 'Vertigo Entertainment', 'Diamond Films', 'Showtime Networks', 'STX Entertainment']",,
672,Fences,Denzel Washington,2016,7.3,50953,57.64,"['Paramount Pictures', 'Scott Rudin Productions', 'Bron Creative', 'MACRO']",,
673,The BFG,Steven Spielberg,2016,6.4,50853,55.47,"['Walt Disney Pictures', 'Amblin Entertainment', 'Reliance Entertainment', 'Kennedy/Marshall Company, The', 'Walden Media']",,2
674,Unfriended,Levan Gabriadze,2014,5.6,50402,31.54,"['Bazelevs Production', 'Blumhouse Productions']",,
675,The Book of Life,Jorge R. Gutiérrez,2014,7.3,50388,50.15,"['Twentieth Century Fox Film Corporation', 'Reel FX Creative Studios', 'Twentieth Century Fox Animation', 'Chatrone']",,
676,The Neon Demon,Nicolas Winding Refn,2016,6.2,50359,1.33,"['Bold Films', 'Amazon Studios', 'Vendian Entertainment', 'Space Rocket Nation']",,
677,The Midnight Meat Train,Ryûhei Kitamura,2008,6.1,50255,0.07,"['Lions Gate Films', 'Lakeshore Entertainment', 'GreeneStreet Films', 'Midnight Picture Show']",,
678,Sisters,Jason Moore,2015,6.0,50241,87.03,"['Pressman-Williams', 'American International Pictures (AIP)']",,
679,Silence,Martin Scorsese,2016,7.3,49190,7.08,['Hyogensha-Mako International'],,1
680,The Best of Me,Michael Hoffman,2014,6.7,49041,26.76,['Relativity Media'],,
681,Dangal,Nitesh Tiwari,2016,8.8,48969,11.15,"['Walt Disney Pictures', 'Aamir Khan Productions']",,
682,Triple 9,John Hillcoat,2016,6.3,48400,12.63,"['Worldview Entertainment', 'Anonymous Content', 'MadRiver Pictures', 'Sierra Pictures', 'Surefire Capital']",,
683,Zoolander 2,Ben Stiller,2016,4.7,48297,28.84,"['Scott Rudin Productions', 'Red Hour Films']",,
684,Mechanic: Resurrection,Dennis Gansel,2016,5.6,48161,21.2,"['Davis-Films', 'Lionsgate', 'Millennium Films', 'Chartoff-Winkler Productions', 'ME2 Productions', 'Hurwitz Creative']",,
685,Why Him?,John Hamburg,2016,6.3,48123,60.31,"['Twentieth Century Fox Film Corporation', '21 Laps Entertainment', 'Red Hour Films', 'TSG Entertainment']",,
686,Pan,Joe Wright,2015,5.8,47804,34.96,[],,
687,Child 44,Daniel Espinosa,2015,6.5,47703,1.21,"['Summit Entertainment', 'Scott Free Productions', 'Worldview Entertainment']",,
688,The Edge of Seventeen,Kelly Fremon Craig,2016,7.4,47694,14.26,"['Gracie Films', 'STX Entertainment']",,
689,Bone Tomahawk,S. Craig Zahler,2015,7.1,47289,66.01,"['Caliber Media Company', 'The Fyzz Facility', 'Realbuilder Productions']",,
690,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,5.6,46165,26.84,"['Constantin Film', 'Impact Pictures', 'Screen Gems', 'Davis Films']",,
691,Hush,Mike Flanagan,2016,6.6,45867,,"['Intrepid Pictures', 'Blumhouse Productions']",,
692,Café Society,Woody Allen,2016,6.7,45579,11.08,"['Gravier Productions', 'Perdido Productions']",,1
693,Take Me Home Tonight,Michael Dowse,2011,6.3,45419,6.92,"['Imagine Entertainment', 'Rogue Pictures', 'Relativity Media', 'Internationale Filmproduktion Blackbird Dritte']",,
694,Point Break,Ericson Core,2015,5.3,44553,28.77,"['20th Century Fox', 'Largo Entertainment', 'JVC Entertainment Networks']",,
695,The Finest Hours,Craig Gillespie,2016,6.8,44425,27.55,"['Walt Disney Pictures', 'Whitaker Entertainment', 'Bergsten Music', 'Red Hawk Entertainment']",,
696,All Good Things,Andrew Jarecki,2010,6.3,44158,0.58,['The Weinstein Company'],,
697,Vampire Academy,Mark Waters,2014,5.6,44111,7.79,"['Preger Entertainment', 'Montford / Murphy Productions']",,
698,Collateral Beauty,David Frankel,2016,6.8,43977,30.98,"['New Line Cinema', 'Village Roadshow Pictures', 'Likely Story', 'Anonymous Content', 'Overbrook Entertainment', 'PalmStar Media']",,
699,The Infiltrator,Brad Furman,2016,7.1,43929,15.43,['Good Films'],,
700,Bridget Jones's Baby,Sharon Maguire,2016,6.7,43086,24.09,"['Universal Pictures', 'StudioCanal', 'Working Title Films', 'Perfect World Pictures', 'Miramax']",,
701,Blackhat,Michael Mann,2015,5.4,43085,7.1,"['Universal Pictures', 'Forward Pass', 'Legendary Pictures']",,
702,Magic Mike XXL,Gregory Jacobs,2015,5.7,42506,,"['Warner Bros.', 'Iron Horse Entertainment (II)']",,
703,Macbeth,Justin Kurzel,2015,6.7,41642,,[],,
704,Jackie,Pablo Larraín,2016,6.8,41446,13.96,"['Fox Searchlight Pictures', 'Why Not Productions', 'Wild Bunch', 'Protozoa Pictures', 'Bliss Media', 'LD Entertainment', 'Fabula', 'Endemol Shine Studios', 'Jackie Productions (II)']",,
705,Underworld: Blood Wars,Anna Foerster,2016,5.8,41362,30.35,"['Lakeshore Entertainment', 'Screen Gems', 'Sketch Films']",,
706,The Invitation,Karyn Kusama,2015,6.7,40529,0.23,['Pandastorm Pictures'],,
707,Blood Father,Jean-François Richet,2016,6.4,40357,93.95,"['Why Not Productions', 'Wild Bunch']",,
708,Patriots Day,Peter Berg,2016,7.4,39784,31.86,"['CBS Films', 'Closest to the Hole Productions', 'Leverage Entertainment', 'Bluegrass Films', 'TIK Films', 'Hutch Parker Entertainment']",,
709,Woman in Gold,Simon Curtis,2015,7.3,39723,33.31,"['BBC Films', 'Origin Pictures']",,
710,Footloose,Craig Brewer,2011,5.9,39380,51.78,"['Paramount Pictures', 'IndieProd Company Productions']",,
711,A Monster Calls,J.A. Bayona,2016,7.5,39134,3.73,"['River Road Entertainment', 'Participant Media', 'Apaches Entertainment', 'La Trini']",,
712,The Loft,Erik Van Looy,2014,6.3,38804,5.98,"['Dark Castle Entertainment', 'Anonymous Content', 'Open Road Films']",,
713,Trolls,Walt Dohrn,2016,6.5,38552,153.69,"['Twentieth Century Fox Film Corporation', 'DreamWorks Animation']",,
714,Criminal,Ariel Vromen,2016,6.3,38430,14.27,"['2929 Productions', 'Warner Bros.', 'Criminal Films Inc.']",,
